
2024/11/25 (00:53:03) | ===> btop++ v.1.3.2
2024/11/25 (18:48:52) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:53) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:54) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:55) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:56) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:57) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:58) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:59) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:00) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:01) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:02) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:03) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:04) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:05) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:06) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:07) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:08) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:09) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:10) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:11) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:12) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:13) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:14) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:15) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:16) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:19) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:20) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:21) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:22) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:23) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:49:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
